,GameNum,Min,Max,Median,Mode,StdDev,Mean,Away,Home,Home_Spread,Home_Payout
0,3648,-8.0,11.0,-1.0,"ModeResult(mode=array([-1.]), count=array([10]))",3.2124756808418025,-1.08,Los Angeles Rams,Arizona Cardinals,3.0,-105
1,3649,-6.0,5.0,-2.0,"ModeResult(mode=array([-2.]), count=array([12]))",2.408827303812342,-1.44,New Orleans Saints,Atlanta Falcons,7.0,-114
2,3650,-12.0,6.0,-1.5,"ModeResult(mode=array([-2.]), count=array([10]))",3.6303145419466607,-1.38,San Francisco 49Ers,Baltimore Ravens,-6.0,-105
3,3651,-16.0,7.0,-4.0,"ModeResult(mode=array([0.]), count=array([7]))",4.126766783043677,-4.48,Buffalo Bills,Dallas Cowboys,-7.0,103
4,3652,-9.0,3.0,-3.0,"ModeResult(mode=array([-2.]), count=array([11]))",2.21543748846726,-3.5,Washington Redskins,Carolina Panthers,-10.5,-102
5,3653,-9.0,4.0,-2.0,"ModeResult(mode=array([-2.]), count=array([11]))",2.54750778573243,-2.4,Chicago Bears,Detroit Lions,3.0,100
6,3654,-5.0,3.0,-2.0,"ModeResult(mode=array([-2.]), count=array([11]))",2.0224252969226457,-1.54,New York Jets,Cincinnati Bengals,4.5,-115
7,3655,-11.0,0.0,-4.0,"ModeResult(mode=array([-3.]), count=array([10]))",2.739059871487266,-4.26,Cleveland Browns,Pittsburgh Steelers,2.5,-105
8,3656,-13.0,2.0,-5.0,"ModeResult(mode=array([-6.]), count=array([12]))",3.0733216757197708,-4.94,Los Angeles Chargers,Denver Broncos,3.5,110
9,3657,-11.0,3.0,-2.0,"ModeResult(mode=array([-1.]), count=array([13]))",2.470726572471824,-2.76,Green Bay Packers,New York Giants,8.5,-105
10,3658,-5.0,9.0,1.0,"ModeResult(mode=array([1.]), count=array([10]))",2.929442379201411,1.3,New England Patriots,Houston Texans,4.0,105
11,3659,-8.0,4.0,-2.0,"ModeResult(mode=array([-1.]), count=array([12]))",2.0171711855558354,-2.18,Tennessee Titans,Indianapolis Colts,-2.5,-110
12,3660,-9.0,11.0,-2.0,"ModeResult(mode=array([-3.]), count=array([8]))",4.237057122723801,-0.92,Tampa Bay Buccaneers,Jacksonville Jaguars,2.5,-105
13,3661,-17.0,3.0,-6.0,"ModeResult(mode=array([-8.]), count=array([8]))",3.8052595180880897,-6.36,Oakland Raiders,Kansas City Chiefs,-9.5,-108
14,3662,-7.0,21.0,-1.5,"ModeResult(mode=array([-2.]), count=array([8]))",4.253977730385085,-0.84,Philadelphia Eagles,Miami Dolphins,10.0,-105
15,3663,-12.0,3.0,-3.5,"ModeResult(mode=array([-6.]), count=array([7]))",3.0112713431440903,-3.56,Minnesota Vikings,Seattle Seahawks,-3.0,100
